"Files","LOC","ParseFailures","type_decs","Subtyping","Functions","Modules","Project"
5,9210,0,44,6,443,2,481
10,3162,0,21,31,105,3,482
23,1365,0,3,3,39,1,483
6,1643,0,2,4,29,1,484
13,1554,1,1,0,23,2,485
7,615,0,9,33,11,2,486
14,2085,2,1,2,22,1,487
10,1022,2,6,11,17,2,488
9,866,2,8,16,15,2,489
45,12156,9,22,37,164,14,490
5,2129,0,13,17,28,4,491
3,343,0,0,4,4,2,492
19,3277,1,22,11,77,2,493
9,404,0,2,3,13,1,494
36,8716,2,28,60,230,10,495
8,2925,0,3,4,65,0,496
2,441,0,2,0,13,0,497
8,2024,0,2,3,44,3,498
10,796,0,2,2,56,1,499
2,2072,0,0,0,62,0,500
10,707,0,11,47,30,2,501
2,55,0,0,0,3,0,502
7,816,0,8,15,43,3,503
1,390,0,7,9,18,0,504
4,456,0,2,0,10,1,505
33,7777,1,20,169,170,20,506
17,2078,3,11,42,42,5,507
2,1181,0,10,6,61,0,508
2,446,0,1,13,15,0,509
1,217,0,3,3,21,0,510
1,91,0,0,0,0,0,511
2,415,0,4,3,15,0,512
4,573,0,2,1,21,0,513
3,620,0,0,0,22,0,514
1,413,0,4,12,15,0,515
5,1019,0,16,65,60,3,516
2,137,0,0,0,0,2,517
44,5917,1,17,43,70,4,518
9,816,1,0,41,8,1,519
7,1499,2,4,2,34,0,520
7,1106,1,0,0,4,0,521
8,1269,0,5,9,31,1,522
2,253,0,2,0,10,1,523
2,866,0,0,30,65,0,524
30,8216,2,61,57,346,9,525
20,8886,0,23,54,878,6,526
1,7,0,0,0,0,0,527
2,320,0,1,0,18,1,528
2,780,0,0,0,2,2,529
12,5722,0,19,14,717,3,530
1,559,0,2,56,25,1,531
6,1187,2,2,0,12,1,532
15,4692,0,23,115,200,4,533
15,2221,0,6,3,54,4,534
3,139,0,1,0,22,0,535
0,0,0,0,0,0,0,536
1,528,0,0,1,25,0,537
40,6142,7,69,54,176,7,538
12,1297,0,20,19,97,0,539
2,1960,0,68,76,42,2,540
25,4258,1,7,33,94,2,541
8,728,1,5,5,18,3,542
4,369,0,3,0,16,0,543
2,134,1,0,0,0,0,544
4,2589,0,3,83,5,0,545
31,3118,4,3,12,76,6,546
4,367,0,1,1,8,1,547
1,194,0,2,0,16,1,548
3,148,0,1,3,5,0,549
7,769,0,4,43,11,1,550
198,75261,7,362,1194,4051,35,551
9,6300,0,7,10,562,2,552
6,1149,0,0,2,82,1,553
66,19719,6,49,105,748,10,554
4,1157,0,0,1,62,0,555
6,1366,0,0,19,66,0,556
22,4612,0,27,46,281,3,557
19,2150,0,24,32,104,5,558
16,3947,1,12,115,192,2,559
5,371,0,11,0,14,1,560
5,1535,0,12,2,72,2,561
7,531,0,2,4,28,2,562
5,254,0,6,6,1,5,563
7,449,0,1,0,16,1,564
3,182,0,0,5,14,1,565
5,1283,1,0,12,50,0,566
4,296,0,2,7,17,0,567
3,751,0,10,15,28,0,568
13,4171,2,22,101,79,4,569
26,2568,1,6,33,108,8,570
2,131,0,0,0,5,1,571
2,227,0,2,3,4,1,572
13,3163,0,32,37,115,3,573
4,587,0,2,1,12,0,574
6,1245,0,0,0,14,0,575
2,520,0,8,16,26,0,576
2,786,1,0,0,2,0,577
19,2952,3,16,4,140,11,578
12,802,0,2,1,24,1,579
11,285,0,0,0,11,1,580
24,1300,1,16,16,43,21,581
2,31,0,0,0,0,2,582
8,1572,0,0,0,89,0,583
2,482,0,5,3,39,2,584
9,3661,3,12,13,211,0,585
7,437,0,3,0,16,0,586
6,1300,0,15,5,124,5,587
1,36,0,0,0,0,0,588
34,9369,3,26,120,123,13,589
3,262,0,0,0,0,0,590
8,3419,4,80,4,40,0,591
18,1187,0,19,16,19,6,592
1,496,1,0,0,0,0,593
4,3365,0,8,40,87,0,594
7,859,0,2,2,12,6,595
16,5097,0,9,53,75,2,596
2,264,0,0,2,20,0,597
36,7596,1,17,20,81,5,598
6,1028,0,0,0,0,2,599
2,603,0,0,0,0,2,600
1,207,0,0,0,0,0,601
3,363,0,2,0,4,0,602
42,7779,0,51,65,279,1,603
1,45,0,0,0,1,0,604
3,1253,0,1,6,38,0,605
1,103,0,0,2,7,0,606
2,158,0,0,3,11,0,607
18,13851,0,72,156,876,0,608
2,1702,0,8,26,112,0,609
7,2897,1,14,16,144,0,610
5,4796,0,20,65,317,0,611
1,1243,0,7,7,92,0,612
10,983,0,9,36,34,0,613
5,488,0,3,0,17,0,614
41,44440,35,0,0,0,0,615
2,3197,2,0,0,0,0,616
1,8,0,0,0,0,0,617
2,17005,1,0,0,0,0,618
9,6300,0,7,10,562,2,619
4,231,0,0,0,0,0,620
1,24,0,0,0,1,0,621
3,3622,2,0,0,0,0,622
10,1086,0,4,24,30,2,623
8,33419,1,0,0,6,1,624
9,9166,7,1,6,7,1,625
3,13508,1,0,0,0,0,626
1,382,0,0,0,0,0,627
3,13408,0,0,0,0,0,628
6,26881,0,0,0,1,1,629
16,101916,1,1,1,12,2,630
2,13090,0,0,0,1,0,631
2,297,0,2,0,12,1,632
6,381,0,2,4,13,1,633
1,12035,0,0,0,0,0,634
3,12823,0,17,0,8,2,635
4,24647,0,18,0,10,2,636
1,48,0,2,0,1,0,637
12,15644,0,25,7,524,2,638
5,1257,0,0,3,44,0,639
4,23750,0,19,0,2,0,640
11,2108,1,0,6,38,1,641
7,2148,2,7,4,43,4,642
5,396,0,0,0,13,0,643
13,2232,0,2,4,51,1,644
4,11723,0,0,0,0,0,645
4,561,1,0,0,0,1,646
5,1699,0,9,6,151,2,647
5,1872,0,8,3,71,0,648
2,764,0,0,0,57,0,649
100,15842,7,103,220,561,17,650
26,6140,3,17,85,254,5,651
2,202,0,0,1,9,0,652
8,2411,0,9,16,33,1,653
2,104,0,1,1,10,1,654
7,1388,0,13,1,239,1,655
15,1150,0,6,9,77,0,656
4,170,0,0,0,4,0,657
15,3875,1,13,18,183,2,658
2,211,0,0,2,3,0,659
1,10,0,0,0,0,0,660
12,1375,0,9,9,30,2,661
7,2038,0,9,0,112,0,662
2,214,0,1,2,13,0,663
2,254,0,1,2,15,1,664
5,711,4,1,1,3,0,665
14,1036,0,8,13,38,14,666
2,330,0,2,1,16,0,667
3,160,0,3,1,6,1,669
3,225,0,0,0,7,0,670
1,51,0,0,0,0,0,671
1,9,0,0,0,0,0,672
4,649,0,1,0,8,1,673
11,645,0,10,22,19,1,674
4,11707,0,0,0,9,0,675
10,845,0,0,3,26,3,676
10,576,0,0,0,14,1,677
3,298,0,0,2,5,0,678
1,226,1,0,0,0,0,679
4,745,0,2,22,37,2,680
12,802,0,2,1,24,1,681
2,445,0,0,0,20,2,682
6,551,1,1,4,10,2,683
6,117,0,0,0,1,5,684
3,148,1,0,0,3,0,685
2,2493,0,0,0,1,0,686
9,8912,0,7,4,33,1,687
4,426,0,0,0,0,0,688
5,9368,0,0,0,3,0,689
4,10020,2,0,0,0,0,690
18,8583,0,13,48,61,5,691
4,16948,1,0,0,0,0,692
3,1772,0,0,32,96,0,693
5,21231,0,0,0,11,0,694
21,75433,1,23,40,59,0,695
3,178,0,0,0,10,2,696
14,19688,0,1,1,13,1,697
45,5422,1,26,29,118,1,698
3,149,0,1,2,6,0,699
